P -411.0000, 415.0000, 16.0000,  255, 0, 255,  2,  Zone
P -764.0000, -554.0000, 0.0000,  0, 127, 0,  2,  boss
P -787.0000, -265.0000, 0.0000,  0, 127, 0,  2,  trap
P -849.0000, 402.0000, 0.0000,  0, 127, 0,  2,  trap
P -188.0000, 177.0000, 0.0000,  0, 127, 0,  2,  trap
P 41.0000, 55.0000, 0.0000,  240, 0, 0,  1,  Trap
P -75.0000, -551.0000, 22.0000,  0, 0, 0,  1,  Flavor
P -386.0000, -546.0000, 26.0000,  0, 0, 240,  1,  Rescuee
P -242.0000, -543.0000, 5.0000,  0, 0, 0,  1,  Taarna_Statue
P -343.0000, 59.0000, 1.0000,  240, 0, 0,  1,  Trap
P -603.0000, 60.0000, 1.0000,  240, 0, 0,  1,  Trap
P -782.0000, -316.0000, 6.0000,  0, 0, 0,  1,  Flavor
