L 6449.9546, 647.7745, -712.0776,  6458.3975, 647.7678, -712.0776,  0, 0, 0
L 6503.5991, 693.5034, -712.0776,  6533.8350, 693.5136, -712.0776,  0, 0, 0
L 6565.4438, 693.5128, -712.0776,  6576.5098, 693.5097, -712.0776,  0, 0, 0
L 6205.1807, 596.8091, -712.0774,  6205.2134, 626.6463, -712.0776,  0, 0, 0
L 6205.2134, 626.6463, -712.0776,  6302.6855, 626.6488, -712.0776,  0, 0, 0
L 6302.6855, 626.6488, -712.0776,  6302.6870, 530.2720, -712.0776,  0, 0, 0
L 6302.6870, 530.2720, -712.0776,  6205.1421, 530.2758, -712.0776,  0, 0, 0
L 6205.1421, 530.2758, -712.0776,  6205.1660, 570.4479, -712.0776,  0, 0, 0
L 6276.1094, 692.9638, -712.0776,  6276.1079, 766.6642, -712.0776,  0, 0, 0
L 6276.1079, 766.6642, -712.0776,  6348.8989, 766.7211, -712.0776,  0, 0, 0
L 6337.1621, 692.9646, -712.0776,  6349.0020, 692.9576, -712.0776,  0, 0, 0
L 6318.6616, 692.9667, -712.0776,  6276.1094, 692.9638, -712.0776,  0, 0, 0
L 6349.0020, 692.9576, -712.0776,  6348.8989, 766.7211, -712.0776,  0, 0, 0
L 6385.2559, 506.5669, -712.0776,  6458.1675, 506.5675, -712.0776,  0, 0, 0
L 6458.1675, 506.5675, -712.0776,  6458.1680, 432.8506, -712.0776,  0, 0, 0
L 6458.1680, 432.8506, -712.0776,  6430.7891, 432.8471, -712.0776,  0, 0, 0
L 6408.4858, 432.8649, -712.0776,  6385.3936, 432.8959, -712.0776,  0, 0, 0
L 6430.2261, 647.7731, -712.0776,  6385.5630, 647.7689, -712.0776,  0, 0, 0
L 6385.5630, 647.7689, -712.0776,  6385.5640, 721.5006, -712.0776,  0, 0, 0
L 6385.5640, 721.5006, -712.0776,  6458.4141, 721.4648, -712.0776,  0, 0, 0
L 6626.0894, 553.0029, -712.0776,  6625.8623, 569.0181, -712.0776,  0, 0, 0
L 6625.8623, 569.0181, -711.2820,  6640.8403, 570.4645, -712.0776,  0, 0, 0
L 6640.8403, 570.4645, -711.2834,  6643.0508, 554.1228, -712.0776,  0, 0, 0
L 6643.0508, 554.1228, -712.0776,  6626.0894, 553.0029, -712.0776,  0, 0, 0
L 6658.6934, 552.5314, -712.0776,  6675.2432, 553.7922, -712.0776,  0, 0, 0
L 6675.2432, 553.7922, -712.0768,  6675.3994, 569.5718, -712.0776,  0, 0, 0
L 6675.3994, 569.5718, -711.7861,  6658.5225, 570.8173, -712.0776,  0, 0, 0
L 6658.5225, 570.8173, -712.0768,  6658.6934, 552.5314, -712.0776,  0, 0, 0
L 6576.3872, 767.2849, -712.0776,  6503.5059, 767.2125, -712.0776,  0, 0, 0
L 6503.5059, 767.2125, -712.0776,  6503.5474, 734.4570, -712.0776,  0, 0, 0
L 6576.3872, 767.2849, -712.0776,  6576.4150, 750.5500, -712.0776,  0, 0, 0
L 6458.4141, 721.4648, -712.0776,  6458.4116, 710.3129, -712.0776,  0, 0, 0
L 3413.7683, 205.1914, -316.7610,  3409.6526, 181.8074, -355.4016,  64, 32, 0
L 3413.7683, 241.0526, -316.7610,  3413.7683, 205.1914, -316.7610,  64, 32, 0
L 3440.4741, 266.1757, -316.7610,  3413.7683, 241.0526, -316.7610,  64, 32, 0
L 3450.7871, 267.4153, -316.7611,  3440.4741, 266.1757, -316.7610,  64, 32, 0
L 3436.5708, 283.9872, -317.2742,  3450.7871, 267.4153, -316.7611,  64, 32, 0
L 3436.5708, 300.6002, -317.2733,  3436.5708, 283.9872, -317.2742,  64, 32, 0
L 3448.5713, 311.3897, -317.2735,  3436.5708, 300.6002, -317.2733,  64, 32, 0
L 3464.0525, 311.2012, -317.2730,  3448.5713, 311.3897, -317.2735,  64, 32, 0
L 3474.7632, 299.9742, -317.2736,  3464.0525, 311.2012, -317.2730,  64, 32, 0
L 3474.5850, 284.0415, -317.2738,  3474.7632, 299.9742, -317.2736,  64, 32, 0
L 3465.0515, 268.5444, -316.7610,  3474.5850, 284.0415, -317.2738,  64, 32, 0
L 3477.5154, 265.2645, -316.7610,  3465.0515, 268.5444, -316.7610,  64, 32, 0
L 3502.7114, 241.2475, -316.7610,  3477.5154, 265.2645, -316.7610,  64, 32, 0
L 3503.9377, 203.7741, -316.7610,  3502.7114, 241.2475, -316.7610,  64, 32, 0
L 3500.1450, 195.1990, -317.6040,  3503.9377, 203.7741, -316.7610,  64, 32, 0
L 3524.1191, 172.8774, -332.4094,  3500.1450, 195.1990, -317.6040,  64, 32, 0
L 3588.3638, 128.5963, -316.7311,  3524.1191, 172.8774, -332.4094,  64, 32, 0
L 3585.4216, 139.1052, -343.9590,  3588.3638, 128.5963, -316.7311,  64, 32, 0
L 3607.7512, 120.3271, -325.5247,  3585.4216, 139.1052, -343.9590,  64, 32, 0
L 3619.0007, 119.7753, -328.4615,  3607.7512, 120.3271, -325.5247,  64, 32, 0
L 3627.0811, 126.3915, -331.0349,  3619.0007, 119.7753, -328.4615,  64, 32, 0
L 3631.2251, 131.0722, -332.2580,  3627.0811, 126.3915, -331.0349,  64, 32, 0
L 3638.9314, 131.3561, -334.8033,  3631.2251, 131.0722, -332.2580,  64, 32, 0
L 3660.1636, 110.2670, -344.8775,  3638.9314, 131.3561, -334.8033,  64, 32, 0
L 3662.3728, 101.4133, -346.0969,  3660.1636, 110.2670, -344.8775,  64, 32, 0
L 3673.3442, 113.6411, -342.9768,  3662.3728, 101.4133, -346.0969,  64, 32, 0
L 3691.4729, 113.1966, -341.4203,  3673.3442, 113.6411, -342.9768,  64, 32, 0
L 3703.4524, 100.1112, -342.6210,  3691.4729, 113.1966, -341.4203,  64, 32, 0
L 3700.8962, 82.1383, -345.9838,  3703.4524, 100.1112, -342.6210,  64, 32, 0
L 3690.4277, 74.3686, -348.2846,  3700.8962, 82.1383, -345.9838,  64, 32, 0
L 3673.0527, 73.0348, -350.0802,  3690.4277, 74.3686, -348.2846,  64, 32, 0
L 3662.7529, 73.6588, -346.6599,  3673.0527, 73.0348, -350.0802,  64, 32, 0
L 3640.8276, 52.1925, -337.0811,  3662.7529, 73.6588, -346.6599,  64, 32, 0
L 3635.4150, 51.4568, -334.8428,  3640.8276, 52.1925, -337.0811,  64, 32, 0
L 3631.8035, 50.9649, -333.0714,  3635.4150, 51.4568, -334.8428,  64, 32, 0
L 3626.0979, 48.8532, -330.0437,  3631.8035, 50.9649, -333.0714,  64, 32, 0
L 3612.0515, 51.1681, -322.8806,  3626.0979, 48.8532, -330.0437,  64, 32, 0
L 3605.8354, 48.9456, -319.9561,  3612.0515, 51.1681, -322.8806,  64, 32, 0
L 3593.4443, 51.4104, -315.1573,  3605.8354, 48.9456, -319.9561,  64, 32, 0
L 3513.6003, -30.6255, -316.7610,  3593.4443, 51.4104, -315.1573,  64, 32, 0
L 3518.3794, -37.0590, -316.7609,  3513.6003, -30.6255, -316.7610,  64, 32, 0
L 3519.7886, -72.4938, -316.7611,  3518.3794, -37.0590, -316.7609,  64, 32, 0
L 3491.6489, -99.1689, -316.7610,  3519.7886, -72.4938, -316.7611,  64, 32, 0
L 3484.3152, -103.9864, -314.0108,  3491.6489, -99.1689, -316.7610,  64, 32, 0
L 3494.8787, -115.9188, -317.2746,  3484.3152, -103.9864, -314.0108,  64, 32, 0
L 3495.5215, -131.8564, -317.2757,  3494.8787, -115.9188, -317.2746,  64, 32, 0
L 3484.7505, -145.4774, -314.0482,  3495.5215, -131.8564, -317.2757,  64, 32, 0
L 3468.7776, -142.1812, -317.2764,  3484.7505, -145.4774, -314.0482,  64, 32, 0
L 3457.9929, -133.4207, -317.2744,  3468.7776, -142.1812, -317.2764,  64, 32, 0
L 3457.4382, -117.3187, -317.2737,  3457.9929, -133.4207, -317.2744,  64, 32, 0
L 3468.8254, -102.0334, -316.7611,  3457.4382, -117.3187, -317.2737,  64, 32, 0
L 3454.9302, -99.7968, -316.7610,  3468.8254, -102.0334, -316.7611,  64, 32, 0
L 3428.2588, -73.3564, -316.7610,  3454.9302, -99.7968, -316.7610,  64, 32, 0
L 3428.2588, -37.7279, -316.8104,  3428.2588, -73.3564, -316.7610,  64, 32, 0
L 3447.5032, -16.4910, -318.8602,  3428.2588, -37.7279, -316.8104,  64, 32, 0
L 3460.2964, -23.2897, -318.5670,  3447.5032, -16.4910, -318.8602,  64, 32, 0
