P 250.0000, 345.0000, 1.4313,  0, 0, 240,  2,  8th_Floor
P 250.0000, 310.0000, 1.4313,  240, 240, 0,  2,  7th_Floor
P 250.0000, 275.0000, 1.4313,  240, 240, 0,  2,  6th_Floor
P 250.0000, 240.0000, 1.4313,  0, 240, 240,  2,  5th_Floor
P -150.0000, 345.0000, 1.4313,  0, 127, 0,  2,  4th_Floor
P -150.0000, 310.0000, 1.4313,  240, 127, 0,  2,  3rd_Floor
P -150.0000, 275.0000, 1.4313,  240, 0, 120,  2,  2nd_Floor
P -150.0000, 240.0000, 1.4313,  0, 0, 0,  2,  1st_Floor
P 125.3392, 316.6917, 1.3907,  0, 0, 240,  3,  Field_of_Scale
P -21.1005, 313.6725, 5.8518,  0, 0, 240,  3,  Field_of_Scale
P -93.5775, 139.0688, 2.5301,  240, 0, 120,  2,  2
P -94.7537, -42.9114, 2.7172,  240, 0, 120,  2,  2
P 328.5856, 34.7951, 263.4211,  0, 0, 240,  2,  8
P 136.3457, 42.0473, 264.0453,  0, 0, 240,  2,  8
P 320.4310, -138.4316, 44.0217,  240, 127, 0,  2,  3
P 274.5192, 167.1452, 43.6366,  240, 127, 0,  2,  3
P 360.9758, 53.0937, 151.5737,  0, 240, 240,  2,  5
P 114.1849, -13.2607, 152.2401,  0, 240, 240,  2,  5
P 412.9603, -51.8060, 111.3920,  0, 127, 0,  2,  4
P 274.2277, 156.1840, 111.3948,  0, 127, 0,  2,  4
P 347.3513, 42.8496, 191.6989,  240, 240, 0,  2,  6
P 134.3573, 52.9200, 191.6073,  240, 240, 0,  2,  6
P 134.7651, 43.7720, 231.4183,  240, 240, 0,  2,  7
P 330.3992, 32.5880, 231.6977,  240, 240, 0,  2,  7
P 213.7812, -14.3514, 308.9922,  240, 0, 0,  3,  Researcher_Neskuisa
P 168.9696, 8.9912, 148.9922,  240, 0, 0,  3,  Consensal
P 223.4023, 24.1083, 228.9923,  240, 0, 0,  3,  Consersa
P 180.6608, -68.2449, 189.1365,  240, 0, 0,  3,  Estar
P 215.5855, 23.8495, 259.1364,  240, 0, 0,  3,  Oracao
P 183.7837, 118.2721, 149.1386,  0, 0, 240,  3,  Supply
P 368.9787, -3.0322, 149.1365,  0, 0, 240,  3,  Supply
P 360.0595, -41.4634, 139.1395,  0, 0, 240,  3,  Supply
P 403.9748, 32.2590, 109.1338,  0, 0, 240,  3,  Supply
P 52.9247, 50.4255, 99.1366,  0, 0, 240,  3,  Supply
P 163.4712, -128.3202, 99.1377,  0, 0, 240,  3,  Supply
P 10.6816, -127.8870, 99.1387,  0, 0, 240,  3,  Supply
P 324.3305, 123.8712, 189.1365,  0, 0, 240,  3,  Supply
P 342.8083, -27.6737, 189.1365,  0, 0, 240,  3,  Supply
