P -303.0000, 308.0000, -8.0000,  0, 0, 240,  3,  hostage
P 356.0000, 324.0000, 14.0000,  0, 0, 0,  3,  Zone
P -250.0000, 150.0000, 0.0000,  240, 240, 240,  2,  The_Aisles_of_Blood
P -250.0000, 200.0000, 0.0000,  240, 240, 240,  2,  mmch
P 18.0000, -415.0000, 0.0000,  240, 0, 0,  2,  boss
P 26.0000, -426.0000, 0.0000,  240, 0, 0,  2,  hostage
P -57.0000, 71.0000, 0.0000,  240, 0, 0,  2,  named
P -213.0000, 32.0000, 0.0000,  240, 0, 0,  2,  named
P 185.0000, 348.0000, 0.0000,  240, 0, 0,  1,  Trap
P 126.0000, 239.0000, 0.0000,  240, 0, 0,  1,  Trap
P -67.0000, -146.0000, -14.0000,  240, 0, 0,  1,  Trap
P -98.0000, -275.0000, 3.0000,  240, 0, 0,  1,  Trap
P -326.0000, 59.0000, -16.0000,  240, 0, 0,  1,  Trap
